"","Loc","Type","z"
"ERR2851868Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C37","Epi_CS3",1
"ERR2851869Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C38","Hyp_CS3",1
"ERR2851870Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C39","Hyp_CS3",1
"ERR2851871Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C40","Hyp_CS3",1
"ERR2851872Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C1","Hyp_CS3",1
"ERR2851873Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C2","Hyp_CS3",1
"ERR2851874Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C3","Hyp_CS3",1
"ERR2851875Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C4","Epi_CS3",1
"ERR2851876Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C5","Hyp_CS3",1
"ERR2851877Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C6","Epi_CS3",1
"ERR2851878Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C7","Hyp_CS3",1
"ERR2851879Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C8","Hyp_CS3",1
"ERR2851880Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C9","Hyp_CS3",1
"ERR2851881Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C10","Hyp_CS3",1
"ERR2851882Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C11","Epi_CS3",1
"ERR2851883Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C12","Epi_CS3",1
"ERR2851884Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C13","Epi_CS3",1
"ERR2851885Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C14","Epi_CS3",1
"ERR2851886Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C15","Hyp_CS3",1
"ERR2851887Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C16","Epi_CS3",1
"ERR2851888Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C17","Hyp_CS3",1
"ERR2851889Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C18","Hyp_CS3",1
"ERR2851890Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C19","Hyp_CS3",1
"ERR2851891Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C20","Hyp_CS3",1
"ERR2851892Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C21","Epi_CS3",1
"ERR2851893Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C22","Hyp_CS3",1
"ERR2851894Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C23","Epi_CS3",1
"ERR2851895Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C24","Hyp_CS3",1
"ERR2851896Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C25","Epi_CS3",1
"ERR2851897Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C26","Hyp_CS3",1
"ERR2851898Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C27","Epi_CS3",1
"ERR2851899Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C28","Epi_CS3",1
"ERR2851900Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C29","Hyp_CS3",1
"ERR2851901Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C30","Epi_CS3",1
"ERR2851902Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C31","Hyp_CS3",1
"ERR2851903Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C32","Epi_CS3",1
"ERR2851904Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C33","Epi_CS3",1
"ERR2851905Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C34","Epi_CS3",1
"ERR2851906Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C35","Epi_CS3",1
"ERR2851907Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C36","Hyp_CS3",1
"ERR2851908Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C37","Epi_CS3",1
"ERR2851909Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C38","Hyp_CS3",1
"ERR2851910Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C39","Epi_CS3",1
